year,policy_rate_avg_pct,house_price_index_long_run
1917,5.152054794520548,0.1310952765970502
1918,5.0,0.1365800248147826
1919,5.153424657534247,0.15313221140043928
1920,6.713114754098361,0.17937473515337857
1921,6.0917808219178085,0.20567107132686385
1922,3.6931506849315068,0.21178774979559406
1923,3.493150684931507,0.22994047299311599
1924,4.0,0.24086439436395674
1925,4.578082191780822,0.25785118178298166
1926,5.0,0.26177948848284066
1927,4.6506849315068495,0.2612234268038652
1928,4.5,0.2616718636417486
1929,5.495890410958904,0.2666046688584665
1930,3.408219178082192,0.2678961669515708
1931,3.96986301369863,0.26466742171881
1932,3.0027322404371586,0.2605956152308283
1933,2.0,0.2617256760622946
1934,2.0,0.2513757538439446
1935,2.0,0.25361793803336186
1936,2.0,0.24942056923077283
1937,2.0,0.2524520022548649
1938,2.0,0.2641831099338959
1939,2.2684931506849315,0.2654746080270002
1940,2.0,0.2900525609526871
1941,2.0,0.31690596980429764
1942,2.0,0.3462454989803875
1943,2.0,0.3783013164384753
1944,2.0,0.4424576800450003
1945,2.0,0.5265246392535504
1946,2.0,0.6349267708645755
1947,2.0,0.8207589964834757
1948,2.0,0.9468594352963008
1949,2.0,0.9114628208927008
1950,2.0,0.9424348584958508
1951,2.073972602739726,0.9933174917010258
1952,3.7131147540983607,0.9778314728994508
1953,3.8547945205479452,0.9048259556920257
1954,3.180821917808219,0.8782784948893257
1955,4.316438356164384,0.9004013788915758
1956,5.3743169398907105,0.9269488396942757
1957,5.620547945205479,0.9269488396942758
1958,5.389041095890411,0.9446471468960759
1959,4.0,0.9711946076987759
1960,5.3469945355191255,1.050836990106876
1961,5.668493150684932,1.150389968117001
1962,4.857534246575343,1.2322446389253259
1963,4.002739726027397,1.329585328535226
1964,5.057377049180328,1.513205265753901
1965,6.419178082191781,1.6282442625656006
1966,6.468493150684932,1.723372663775276
1967,6.158904109589041,1.8494731025881008
1968,7.467213114754099,1.9622998109995762
1969,7.843835616438356,2.0773388078112762
1970,7.228767123287671,2.212288400225001
1971,5.9150684931506845,2.475550719851776
1972,5.880464480874317,3.3140080235370513
1973,9.85890410958904,4.510856048058776
1974,11.947945205479453,4.886945076097026
1975,10.797945205479452,5.172330279726051
1976,11.7301912568306,5.6369108437733
1977,8.45890410958904,6.063882505016726
1978,9.137671232876713,7.02180338231415
1979,13.756164383561643,9.079231594523401
1980,16.30054644808743,11.006134791119377
1981,13.159760273972603,11.610089524380802
1982,11.95445205479452,11.897687016410053
1983,9.860616438356164,13.273730401350004
1984,9.666325136612022,14.512611905476005
1985,12.058904109589042,15.817862061608755
1986,10.739383561643836,17.985904693829255
1987,9.59554794520548,20.972494034133003
1988,9.951502732240437,26.326231962677504
1989,13.675343013698631,31.70209277522426
1990,14.642123287671232,31.370249515190505
1991,11.555821917808219,30.994160487152257
1992,9.425546448087431,29.821647635033006
1993,5.890068493150685,29.00310092694976
1994,5.335958904109589,29.843770519035257
1995,6.568150684931507,29.865893403037504
1996,5.883709016393443,30.927791835145506
1997,6.545034246575343,33.715275219429
1998,7.228082191780822,37.675271455831755
1999,5.345205479452055,41.79012788025025
2000,5.96448087431694,47.9181667488735
2001,5.117808219178082,52.09939182529875
2002,4.0,60.7494394701785
2003,3.6931506849315068,69.44007968297471
2004,4.381830601092896,77.6793430235971
2005,4.647260273972603,81.94289195749998
2006,4.63972602739726,88.38176589083334
2007,5.510273972602739,97.13189785833333
2008,4.671448087431694,92.75578735250001
2009,0.6438356164383562,84.51900219666668
2010,0.5,89.35286466833334
2011,0.5,88.05415199833334
2012,0.5,88.40423861916666
2013,0.5,90.67726617250001
2014,0.5,97.95716209416666
2015,0.5,103.78927929166667
2016,0.3975409836065574,111.35663228333334
